date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Mar%202025%2010:27:10%20GMT	https://ura.cc/pembatalan-pinjaman-paylater2025	C:/Users/Pongo/Desktop/coding/ura.cc/pembatalan-pinjaman-paylater2025.0.delayed	(from )
17:27:08	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-67aafa6c-60c79cf8c5383057;gz%22	https://paleturquoise-reindeer-912609.hostingersite.com/robots.txt		(from )
17:27:08	20410/20410	---MCZ	200	added ('OK')	text/html	date:Thu,%2020%20Mar%202025%2010:27:10%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/index.html	(from )
17:27:09	773/773	---M-Z	200	added ('OK')	text/css	etag:%225eb03f23-305%22	https://cdnjs.cloudflare.com/ajax/libs/meyer-reset/2.0/reset.min.css	C:/Users/Pongo/Desktop/coding/cdnjs.cloudflare.com/ajax/libs/meyer-reset/2.0/reset.min.css	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:09	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-67aafa6c-60c79cf8c5383057;gz%22	https://paleturquoise-reindeer-912609.hostingersite.com/style.css	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/style.css	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:09	3351/3351	---M-Z	200	added ('OK')	text/css	etag:W/%225ad9e9ac-d17%22	https://owlcarousel2.github.io/OwlCarousel2/assets/owlcarousel/assets/owl.carousel.min.css	C:/Users/Pongo/Desktop/coding/owlcarousel2.github.io/OwlCarousel2/assets/owlcarousel/assets/owl.carousel.min.css	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:09	1013/1013	---M-Z	200	added ('OK')	text/css	etag:W/%225ad9e9ac-3f5%22	https://owlcarousel2.github.io/OwlCarousel2/assets/owlcarousel/assets/owl.theme.default.min.css	C:/Users/Pongo/Desktop/coding/owlcarousel2.github.io/OwlCarousel2/assets/owlcarousel/assets/owl.theme.default.min.css	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:10	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ad9e9ac-1538f%22	https://owlcarousel2.github.io/OwlCarousel2/assets/vendors/jquery.min.js	C:/Users/Pongo/Desktop/coding/owlcarousel2.github.io/OwlCarousel2/assets/vendors/jquery.min.js	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:10	89992/89992	---M-Z	200	added ('OK')	application/javascript	etag:W/%225ad9e9ac-15f88%22	https://owlcarousel2.github.io/OwlCarousel2/assets/owlcarousel/owl.carousel.js	C:/Users/Pongo/Desktop/coding/owlcarousel2.github.io/OwlCarousel2/assets/owlcarousel/owl.carousel.js	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:11	262679/262679	---M--	200	added ('OK')	image/png	etag:%228897CD690A456D4772969C456C4B3618%22	https://a.m.dana.id/resource/danaweb-v2/hero-personal-bg-back.png	C:/Users/Pongo/Desktop/coding/a.m.dana.id/resource/danaweb-v2/hero-personal-bg-back.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:11	12786/12786	---M--	200	added ('OK')	image/png	etag:W/%2231f2-18c44d19c88%22	https://www.dana.id/_nuxt/img/dana-logo.fe46647.png	C:/Users/Pongo/Desktop/coding/www.dana.id/_nuxt/img/dana-logo.fe46647.png	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:12	20998/20998	---M--	200	added ('OK')	image/webp	date:Wed,%2012%20Mar%202025%2008:07:20%20GMT	https://gallery.poskota.co.id/storage/Foto/dana-kaget-dana.jpg	C:/Users/Pongo/Desktop/coding/gallery.poskota.co.id/storage/Foto/dana-kaget-dana.webp	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
17:27:14	2457/2457	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2010:27:16%20GMT	https://paleturquoise-reindeer-912609.hostingersite.com/pembatalan.html	C:/Users/Pongo/Desktop/coding/paleturquoise-reindeer-912609.hostingersite.com/pembatalan.html	(from https://paleturquoise-reindeer-912609.hostingersite.com/)
